Location;Product;Minimum quantity;Maximum quantity
4853;83732410;1080;2160
4853;83732411;720;1440
4853;83732412;810;1620
4853;83732413;540;1080
4853;83732414;540;1080
4853;83732415;1080;2160
4853;83732419;990;1980
4853;83732420;990;1980
4853;83732586;1080;2160
4853;83732587;540;1080
4853;83732588;720;1440
4853;83732589;540;1080
4853;83732590;420;840
