Location-To;Location-From;GCAS;Description;UOM;Type;Procurement;Safety Strategy;Safety;Rounding Value
2727;2621;83732411;ORK ULT RW 24x12 SP  FC01 BIM CRA       ;CS;FERT;P;SS;1000;0
2751;4853;83732411;ORK ULT RW 24x12 SP  FC01 BIM CRA       ;CS;FERT;P;SS;1000;72
4853;4853;83732411;ORK ULT RW 24x12 SP  FC01 BIM CRA       ;CS;FERT;P;SS;1000;72
2621;2751;83732411;ORK ULT RW 24x12 SP  FC01 BIM CRA       ;CS;FERT;P;SS;1000;72
4853;4853;83732412;ORK ULT RW 16x16 VP  FC01 CRA           ;CS;FERT;P;SS;1000;81
2751;4853;83732412;ORK ULT RW 16x16 VP  FC01 CRA           ;CS;FERT;F;SS;1000;81
2621;2751;83732412;ORK ULT RW 16x16 VP  FC01 CRA           ;CS;FERT;F;SS;1000;81
2727;2621;83732412;ORK ULT RW 16x16 VP  FC01 CRA           ;CS;FERT;F;SS;1000;0
2621;2751;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;P;SS;1000;54
2727;2621;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;F;SS;1000;0
4850;4853;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;F;SS;1000;54
2751;4853;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;F;SS;1000;54
4853;4853;83732413;ORK ULT RW 12x32 QP  FC01 CRA           ;CS;FERT;P;SS;1000;54
2621;2751;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;P;SS;1000;54
4850;4853;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;F;SS;1000;54
2751;4853;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;P;SS;1000;54
4853;4853;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;P;SS;1000;54
2727;2621;83732414;ORK ULT RW 12x40 GP  FC01 CRA           ;CS;FERT;F;SS;1000;0
2727;2621;83732415;ORK ULT LW 24x7 SP  FC01 CRA            ;CS;FERT;F;SS;1000;0
4853;4853;83732415;ORK ULT LW 24x7 SP  FC01 CRA            ;CS;FERT;P;SS;1000;108
2751;4853;83732415;ORK ULT LW 24x7 SP  FC01 CRA            ;CS;FERT;P;SS;1000;108
2621;2727;83733435;Orkid Ultra Extra QP Shipper v2         ;CS;FERT;P;SS;1000;0
2727;2621;83733609;ORK ULT RW 24x12 SP FC01 BIM GEB        ;CS;FERT;F;SS;1000;72
2621;2725;83733609;ORK ULT RW 24x12 SP FC01 BIM GEB        ;CS;FERT;P;SS;1000;72
2727;2621;83733610;ORK ULT RW 16x16 VP FC01 GEB            ;CS;FERT;F;SS;1000;81
2727;2621;83733611;ORK ULT RW 12x32 QP FC01 GEB            ;CS;FERT;P;SS;1000;54
2621;2725;83733611;ORK ULT RW 12x32 QP FC01 GEB            ;CS;FERT;P;SS;1000;54
2725;#N/D!;83733611;ORK ULT RW 12x32 QP FC01 GEB            ;CS;FERT;P;SS;1000;54
2621;2725;83733612;ORK ULT RW 12x40 GP FC01 GEB            ;CS;FERT;P;SS;1000;54
2727;2621;83733612;ORK ULT RW 12x40 GP FC01 GEB            ;CS;FERT;P;SS;1000;54
2725;#N/D!;83733612;ORK ULT RW 12x40 GP FC01 GEB            ;CS;FERT;P;SS;1000;54
2727;2621;83733613;ORK ULT LW 24x7 SP FC01 GEB             ;CS;FERT;F;SS;1000;108
4850;0;83733614;ORK ULT NW 24x6 SP FC01 GEB             ;CS;FERT;F;SS;1000;99
2727;2621;83733614;ORK ULT NW 24x6 SP FC01 GEB             ;CS;FERT;F;SS;1000;99
2727;2621;83733615;ORK ULT NW 12x12 VP FC01 GEB            ;CS;FERT;F;SS;1000;99
2727;2621;83733616;ORK ULT LW 12x14 VP FC01 GEB            ;CS;FERT;P;SS;1000;108
2727;2621;83733617;ORK ULT LW 12x26 QP FC01 GEB            ;CS;FERT;F;SS;1000;54
2727;2621;83733619;ORK ULT NW 12x24 QP FC01 GEB            ;CS;FERT;P;SS;1000;54
2621;2725;83733619;ORK ULT NW 12x24 QP FC01 GEB            ;CS;FERT;P;SS;1000;54
2725;#N/D!;83733619;ORK ULT NW 12x24 QP FC01 GEB            ;CS;FERT;P;SS;1000;54
2727;2621;83733620;ORK ULT NW 12x30 GP FC01 GEB            ;CS;FERT;P;SS;1000;42
2725;#N/D!;83733620;ORK ULT NW 12x30 GP FC01 GEB            ;CS;FERT;P;SS;1000;42
2621;2725;83733620;ORK ULT NW 12x30 GP FC01 GEB            ;CS;FERT;P;SS;1000;42
2727;2621;83733621;ORK ULT NW 24x6 SP FC01 S5AB GEB        ;CS;FERT;P;SS;1000;84
2725;#N/D!;83733621;ORK ULT NW 24x6 SP FC01 S5AB GEB        ;CS;FERT;P;SS;1000;84
2621;2725;83733621;ORK ULT NW 24x6 SP FC01 S5AB GEB        ;CS;FERT;P;SS;1000;84
2727;2621;83733622;ORK ULT NW 16x12 VP FC01 S5AB GEB       ;CS;FERT;P;SS;1000;70
2725;#N/D!;83733622;ORK ULT NW 16x12 VP FC01 S5AB GEB       ;CS;FERT;P;SS;1000;70
2621;2725;83733622;ORK ULT NW 16x12 VP FC01 S5AB GEB       ;CS;FERT;P;SS;1000;70
2727;2621;83733623;ORK ULT NW 12x22 QP FC01 S5AB GEB       ;CS;FERT;P;SS;1000;60
2725;#N/D!;83733623;ORK ULT NW 12x22 QP FC01 S5AB GEB       ;CS;FERT;P;SS;1000;60
2621;2725;83733623;ORK ULT NW 12x22 QP FC01 S5AB GEB       ;CS;FERT;P;SS;1000;60
2621;2725;83733624;ORK ULT NW 8x28 GP FC01 S5AB GEB        ;CS;FERT;P;SS;1000;70
2725;#N/D!;83733624;ORK ULT NW 8x28 GP FC01 S5AB GEB        ;CS;FERT;P;SS;1000;70
2727;2621;83733624;ORK ULT NW 8x28 GP FC01 S5AB GEB        ;CS;FERT;P;SS;1000;70
2621;2725;83733630;ORK ULT LW 8x34 GP FC01 GEB             ;CS;FERT;P;SS;1000;72
2727;2621;83733630;ORK ULT LW 8x34 GP FC01 GEB             ;CS;FERT;P;SS;1000;72
2725;#N/D!;83733630;ORK ULT LW 8x34 GP FC01 GEB             ;CS;FERT;P;SS;1000;72
4850;#N/D!;83733669;ORK ULT MIX 200x(1+1) FC01 TK           ;CS;FERT;P;SS;1000;0
2621;2727;83733687;ORKID SIM Prima NML RPW 10X28 Sahika T&H;CS;FERT;P;SS;1000;0
2727;#N/D!;83733687;ORKID SIM Prima NML RPW 10X28 Sahika T&H;CS;FERT;P;SS;1000;0
2727;#N/D!;83733775;ORK ULT NW 12X32 GP Prospera 2 -S       ;CS;FERT;P;SS;1000;0
2725;#N/D!;83733609;ORK ULT RW 24x12 SP FC01 BIM GEB        ;CS;FERT;P;SS;1000;72
4853;#N/D!;83733470;ORK ULT NW 24x6 SP FC01 S5AB CRA        ;CS;FERT;P;SS;1000;84
2621;2751;83733470;ORK ULT NW 24x6 SP FC01 S5AB CRA        ;CS;FERT;F;SS;1000;84
2727;2621;83733470;ORK ULT NW 24x6 SP FC01 S5AB CRA        ;CS;FERT;P;SS;1000;84
2751;4853;83733470;ORK ULT NW 24x6 SP FC01 S5AB CRA        ;CS;FERT;F;SS;1000;84
2621;2751;83733471;ORK ULT NW 16x12 VP FC01 S5AB CRA       ;CS;FERT;F;SS;1000;70
2751;4853;83733471;ORK ULT NW 16x12 VP FC01 S5AB CRA       ;CS;FERT;F;SS;1000;70
2727;2621;83733471;ORK ULT NW 16x12 VP FC01 S5AB CRA       ;CS;FERT;P;SS;1000;70
4853;#N/D!;83733471;ORK ULT NW 16x12 VP FC01 S5AB CRA       ;CS;FERT;P;SS;1000;70
4853;#N/D!;83733472;ORK ULT NW 12x22 QP FC01 S5AB CRA       ;CS;FERT;P;SS;1000;60
2751;4853;83733472;ORK ULT NW 12x22 QP FC01 S5AB CRA       ;CS;FERT;P;SS;1000;60
2621;2751;83733472;ORK ULT NW 12x22 QP FC01 S5AB CRA       ;CS;FERT;P;SS;1000;60
