Location;Product;Date;Customer;Quantity
2621;83714624;20170101;AYKANLAR KOZMETIK TICARET VE P;119,997
2621;83714624;20170101;AYKANLAR-HPK;50,6654
2621;83714624;20170101;CARREFOUR A.S.(ADANA).DEPO-1;26,666
2621;83714624;20170101;CARREFOUR A.S.(ANKARA).DEPO-1;7,9998
2621;83714624;20170101;CARREFOUR A.S.(ANTALYA).DEPO-1;3,9999
2621;83714624;20170101;CARREFOUR A.S.(GEBZE).DEPO-1;55,9986
2621;83714624;20170101;CARREFOUR A.S.(SAMSUN).DEPO-1;5,3332
2621;83714624;20170101;CARREFOUR A.S.(TORBALI).DEPO-1;2,6666
2621;83714624;20170101;ECZACIBASI-HAKAN LOJISTIK;5,3332
2621;83714624;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;157,3294
2621;83714624;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;17,3329
2621;83714624;20170101;HEDEF HADIMKOY;333,325
2621;83714624;20170101;HEDEF-CAGRI SANCAKTEPE;333,325
2621;83714624;20170101;MAKRO MARKET A.S. (ANKARA);7,9998
2621;83714624;20170101;METRO GROS. B.KOY.ALIS.HIZ.TIC;386,657
2621;83714624;20170101;OZGUN GIDA KOZMETIK VE DAG. AS;39,999
2621;83714624;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;279,993
2621;83714624;20170101;OZGUN GIDA SN. AS.-ZONGULDAK;15,9996
2621;83714624;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;639,984
2621;83714624;20170101;OZGUN KOZM. GIDA SAN. AS.-SAMS;159,996
2621;83714624;20170101;SECKIN ONUR PAZ.SN.TIC.AS-BURS;147,9963
2621;83714624;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;67,9983
2621;83714624;20170101;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;15,9996
2621;83714624;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;199,995
2621;83714624;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;319,992
2621;83714624;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;799,98
2621;83714624;20170101;TESCO KIPA KITLE PAZARLAMA TIC;223,9944
2621;83714624;20170101;YONTEM - ECOMMERCE;119,997
2621;83714624;20170101;YONTEM KOZMETIK ANONIM SIRKETI;479,988
2621;83716627;20170101;TESCO KIPA KITLE PAZARLAMA TIC;4020,975
2621;83716627;20170101;TESCO KIPA MILAS;61,425
2621;83721693;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;-0,16701336
2621;83721693;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;-1,66713336
2621;83723120;20170101;ADNAN ANTEP;597,352
2621;83723120;20170101;ADNAN TIC.PAZ. AS-MALATYA;149,338
2621;83723120;20170101;ADNAN TIC.PAZ. AS-MERSIN;61,8686
2621;83723120;20170101;AYKANLAR GD SN TIC.AS-KONYA;59,7352
2621;83723120;20170101;AYKANLAR IZMIR YENI;119,4704
2621;83723120;20170101;AYKANLAR KOZMETIK TICARET VE P;59,7352
