Location;Product;Minimum quantity;Maximum quantity
4853;83732410;324;2160
4853;83732411;216;1440
4853;83732412;243;1620
4853;83732413;162;1080
4853;83732414;162;1080
4853;83732415;324;2160
4853;83732419;297;1980
4853;83732420;297;1980
4853;83732586;324;2160
4853;83732587;162;1080
4853;83732588;216;1440
4853;83732589;162;1080
4853;83732590;126;840
